name,vote_average,vote_count,overview,genres,keyword,trailer,imdb_id,quality_score,soup
Breaking Bad,8.937,17186,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","['Drama', 'Crime']","['new mexico', 'drug dealer', 'narcissism', 'psychopath', 'terminal illness', 'outlaw', 'dark comedy', 'cancer', 'tragedy', 'drugs', 'criminal', 'meth lab', 'drug lord', 'high school teacher', 'dea agent', 'neo-western', 'narcissist', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'cartel', 'mexican cartel', 'male egos', 'crystal meth', 'dark', 'methamphetamine', 'gritty', 'thriller', 'intense', 'gloomy', 'violent', 'tortured genius']",https://www.youtube.com/watch?v=XZ8daibM3AE,tt0903747,0.9266062117406927,"new mexico drug dealer narcissism psychopath terminal illness outlaw dark comedy cancer tragedy drugs criminal meth lab drug lord high school teacher dea agent neo-western narcissist albuquerque, new mexico criminal lawyer fall from grace cartel mexican cartel male egos crystal meth dark methamphetamine gritty thriller intense gloomy violent tortured genius Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime"
Avatar: The Last Airbender,8.753,4696,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']","['saving the world', 'monk', 'martial arts', 'asia', 'magic', 'villain', 'child hero', 'reincarnation', 'friendship', 'honor', 'destiny', 'hard', 'anime inspired']",https://www.youtube.com/watch?v=IyZ0xetSb9s,tt0417299,0.6357567310602097,saving the world monk martial arts asia magic villain child hero reincarnation friendship honor destiny hard anime inspired Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy Animation Action & Adventure Sci-Fi & Fantasy
Arcane,8.751,5711,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.","['Animation', 'Action & Adventure']","['magic', 'war of independence', 'class differences', 'battle', 'based on video game', 'death in family', 'adult animation', 'warrior', 'broken family', 'war', '3d animation', 'sisters', 'web series', 'power', 'absurd', 'dramatic', 'sentimental', 'amused', 'assertive', 'awestruck', 'baffled']",https://www.youtube.com/watch?v=W4gLFBNGgiY,tt11126994,0.9246657062841992,magic war of independence class differences battle based on video game death in family adult animation warrior broken family war 3d animation sisters web series power absurd dramatic sentimental amused assertive awestruck baffled Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure
Heated Rivalry,8.72,329,"Two of the biggest stars in Major League Hockey are bound by ambition, rivalry, and a magnetic pull neither of them fully understands. What begins as a secret fling between two fresh faced rookies evolves into a years-long journey of love, denial, and self-discovery. Over the next eight years, as they chase glory on the ice, they struggle to navigate their feelings for each other. Torn between the sport they live for and the love they can’t ignore, they must decide if there’s room in their fiercely competitive world for something as fragile – and powerful – as real love.",['Drama'],"['based on novel or book', 'affectation', 'ice hockey', 'rivalry', 'romance', 'lgbt', 'gay liberation', 'secret relationship', 'professional athlete', 'rival', 'closeted homosexual', 'mischievous', 'gay theme', 'homosexual', 'athlete', 'rivals to lovers', ""boys' love (bl)"", 'joyful', 'sport', 'gay', 'sports romance']",https://www.youtube.com/watch?v=ADi1iextoUM,tt35495073,0.7616291873023091,based on novel or book affectation ice hockey rivalry romance lgbt gay liberation secret relationship professional athlete rival closeted homosexual mischievous gay theme homosexual athlete rivals to lovers boys' love (bl) joyful sport gay sports romance Drama Drama Drama Drama Drama Drama Drama Drama Drama
Chernobyl,8.703,7587,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,['Drama'],"['based on true story', 'disaster', 'miniseries', 'nuclear catastrophe', '1980s', 'chernobyl']",https://www.youtube.com/watch?v=s9APLXM9Ei8,tt7366338,0.9007152412786817,based on true story disaster miniseries nuclear catastrophe 1980s chernobyl Drama Drama Drama Drama Drama Drama Drama Drama Drama
Better Call Saul,8.703,6235,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".","['Crime', 'Drama']","['new mexico', 'moral conflict', 'crooked lawyer', 'prequel', 'romance', 'dark comedy', 'family relationships', 'tragedy', 'lawyer', 'brother against brother', 'spin off', 'cynical', 'neo-western', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'neo-noir', 'mexican cartel', 'legal drama', 'gritty', 'offbeat', 'intense']",https://www.youtube.com/watch?v=HN4oydykJFc,tt3032476,0.9140004866057924,"new mexico moral conflict crooked lawyer prequel romance dark comedy family relationships tragedy lawyer brother against brother spin off cynical neo-western albuquerque, new mexico criminal lawyer fall from grace neo-noir mexican cartel legal drama gritty offbeat intense Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama"
The Pitt,8.7,514,The staff of Pittsburgh's Trauma Medical Center work around the clock to save lives in an overcrowded and underfunded emergency department.,['Drama'],"['hospital', 'pittsburgh, pennsylvania', 'medical drama', 'medical procedural', 'critical']",https://www.youtube.com/watch?v=ufR_08V38sQ,tt31938062,0.7870140947076631,"hospital pittsburgh, pennsylvania medical drama medical procedural critical Drama Drama Drama Drama Drama Drama Drama Drama Drama"
Rick and Morty,8.68,10698,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,"['Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Action & Adventure']","['time travel', 'grandfather', 'alcoholism', 'alien', 'dysfunctional family', 'mad scientist', 'scientist', 'adult animation', 'father figure', 'machinist', 'multiple dimensions', 'spaceship']",https://www.youtube.com/watch?v=WNhH00OIPP0,tt2861424,0.875221991879512,time travel grandfather alcoholism alien dysfunctional family mad scientist scientist adult animation father figure machinist multiple dimensions spaceship Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure Animation Comedy Sci-Fi & Fantasy Action & Adventure
The Chosen,8.673,761,The life of Christ through the eyes of those who encountered him.,"['Drama', 'Family', 'Action & Adventure']","['christianity', 'identity', 'pacifism', 'sacrifice', 'apostle', 'bible', 'leprosy', 'forgiveness', 'jerusalem', 'hope', 'gospel', 'paralysis', 'marriage', 'faith', 'judas', 'god', 'religion', 'redemption', 'trust', 'belief in god', 'sermon on the mount', 'mental illness', 'grace', 'saint', 'disbelief', 'blindness', 'healing', 'journey', 'religious film', 'messiah', 'parables', 'salvation', 'search for truth', 'humanitarian work', 'jesus christ', 'sermon', 'galilei', 'new testament', 'master disciple relationship', 'crowdfunded film', 'nazareth', 'christian faith', 'miracles', 'jews', 'biblical', 'follower', 'seekers', 'passion', 'excited', 'holiday miracles', 'chosen', 'pharisee']",https://www.youtube.com/watch?v=5CVj41dtkIA,tt5622316,0.6606910620953206,christianity identity pacifism sacrifice apostle bible leprosy forgiveness jerusalem hope gospel paralysis marriage faith judas god religion redemption trust belief in god sermon on the mount mental illness grace saint disbelief blindness healing journey religious film messiah parables salvation search for truth humanitarian work jesus christ sermon galilei new testament master disciple relationship crowdfunded film nazareth christian faith miracles jews biblical follower seekers passion excited holiday miracles chosen pharisee Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure Drama Family Action & Adventure
The Owl House,8.663,1758,"An animated fantasy-comedy series that follows Luz, a self-assured teenage girl who accidentally stumbles upon a portal to a magical world where she befriends a rebellious witch, Eda, and an adorably tiny warrior, King. Despite not having magical abilities, Luz pursues her dream of becoming a witch by serving as Eda's apprentice at the Owl House and ultimately finds a new family in an unlikely setting.","['Animation', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy', 'Family']","['witch', 'magic', 'school of witchcraft', 'apprentice', 'portal', 'witchcraft', 'lgbt', 'casting spells', 'children cartoon', 'owl', 'magic land', 'animation']",https://www.youtube.com/watch?v=1W1FFiT51lg,tt8050756,0.8713906248982386,witch magic school of witchcraft apprentice portal witchcraft lgbt casting spells children cartoon owl magic land animation Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family Animation Action & Adventure Comedy Sci-Fi & Fantasy Family
